Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/11-12-Cherokee-Ln-Mc-Caysville-GA-30555/447909718_zpid/,413517,Lot/Land,300000,07/31/2025,,,,2.14,acres,,,11-12 Cherokee Ln,Mc Caysville,30555,GA,USA
https://www.zillow.com/homedetails/11-12-Cherokee-Ln-11-12-Mc-Caysville-GA-30555/447910362_zpid/,7532750,Lot/Land,300000,07/31/2025,,,,2.14,acres,0,0,11-12 Cherokee Ln #11-12,Mc Caysville,30555,GA,USA
https://www.zillow.com/homedetails/0-Riverside-Ln-Blue-Ridge-GA-30513/351949684_zpid/,407405,Lot/Land,235000,07/29/2025,,,,0.53,acres,,,0 Riverside Ln,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/17-Crockett-Laurel-Creek-Trl-Cherry-Log-GA-30522/441789360_zpid/,10376232,Lot/Land,105000,07/29/2025,,,,2.13,acres,,,17 Crockett Laurel Creek Trl,Cherry Log,30522,GA,USA
https://www.zillow.com/homedetails/500-S-Williamstown-Rd-Mineral-Bluff-GA-30559/454483070_zpid/,,Single Family,181000,07/29/2025,1274,sqft,142.07,2.55,acres,,1,500 S Williamstown Rd,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/140-Old-Copperhill-Rd-Blue-Ridge-GA-30513/96831310_zpid/,10548951,Single Family,105000,07/28/2025,1920,sqft,54.69,2.07,acres,2,1,140 Old Copperhill Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/18-Prides-Rdg-Blue-Ridge-GA-30513/228811517_zpid/,415422,Single Family,416500,07/28/2025,2100,sqft,198.33,1.28,acres,3,2,18 Prides Rdg,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/Amy-Creek-Dr-Ellijay-GA-30540/228832497_zpid/,,Single Family,32000,07/28/2025,,,,1.8,acres,,,Amy Creek Dr,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/58-Hatchett-Trl-Cherry-Log-GA-30522/228811447_zpid/,416211,Single Family,335000,07/25/2025,672,sqft,498.51,3.1,acres,2,1,58 Hatchett Trl,Cherry Log,30522,GA,USA
https://www.zillow.com/homedetails/Katie-Haven-Rd-Morganton-GA-30560/295011706_zpid/,,Single Family,70000,07/25/2025,,,,0.79,acres,,,Katie Haven Rd,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/45-Amy-Creek-Cir-Ellijay-GA-30540/341621478_zpid/,10512496,Lot/Land,32000,07/25/2025,,,,1.8,acres,,,45 Amy Creek Cir,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/1-Robert-Miller-Ln-Mineral-Bluff-GA-30559/449886734_zpid/,414693,Lot/Land,43333,07/25/2025,,,,1.5,acres,,,1 Robert Miller Ln,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/3-Robert-Miller-Ln-Mineral-Bluff-GA-30559/449887013_zpid/,414695,Lot/Land,43333,07/25/2025,,,,1.5,acres,,,3 Robert Miller Ln,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/2-Robert-Miller-Ln-Mineral-Bluff-GA-30559/449887019_zpid/,414694,Lot/Land,43333,07/25/2025,,,,1.5,acres,,,2 Robert Miller Ln,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/45-Amy-Ln-Ellijay-GA-30540/450531316_zpid/,415260,Lot/Land,32000,07/25/2025,,,,1.8,acres,,,45 Amy Ln,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/45-Amy-Creek-Cir-45-Ellijay-GA-30540/450532463_zpid/,7571293,Lot/Land,32000,07/25/2025,,,,1.8,acres,0,0,45 Amy Creek Cir #45,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/LOT-19-Haven-Way-Blue-Ridge-GA-30513/2054519355_zpid/,414719,Lot/Land,200000,07/25/2025,,,,0.77,acres,,,LOT 19 Haven Way,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/170-Humphrey-Heights-Rd-Mineral-Bluff-GA-30559/228806701_zpid/,414814,Single Family,553820,07/23/2025,1764,sqft,313.96,3.56,acres,4,2,170 Humphrey Heights Rd,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/203-E-Thomas-Rd-Blue-Ridge-GA-30513/96832918_zpid/,,Single Family,265600,07/22/2025,996,sqft,266.67,3,acres,2,1,203 E Thomas Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/665-Davis-Rd-Blue-Ridge-GA-30513/228808068_zpid/,413141,Single Family,320000,07/22/2025,995,sqft,321.61,0.6,acres,2,2,665 Davis Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/120-Old-Hollow-Rd-Blue-Ridge-GA-30513/96832178_zpid/,416736,Single Family,194820,07/21/2025,720,sqft,270.58,1.1,acres,2,1,120 Old Hollow Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/4097-Mobile-Rd-Mc-Caysville-GA-30555/228810963_zpid/,419458,Single Family,244000,07/18/2025,,,,3,acres,2,1,4097 Mobile Rd,Mc Caysville,30555,GA,USA
https://www.zillow.com/homedetails/Seneca-Dr-Ellijay-GA-30540/228835747_zpid/,,Single Family,35000,07/18/2025,,,,0.74,acres,,,Seneca Dr,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/106-Taylor-Ridge-Rd-3-Blue-Ridge-GA-30513/228838607_zpid/,,Single Family,312450,07/18/2025,480,sqft,650.94,1.02,acres,1,1,106 Taylor Ridge Rd #3,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/160-Arrowhead-Pass-3-Ellijay-GA-30540/247202155_zpid/,,Single Family,579000,07/18/2025,990,sqft,584.85,2.78,acres,3,2,160 Arrowhead Pass #3,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/106-Taylor-Ridge-Rd-Blue-Ridge-GA-30513/402265184_zpid/,415610,Single Family,312450,07/18/2025,480,sqft,650.94,1.02,acres,1,1,106 Taylor Ridge Rd,Blue Ridge,30513,GA,USA
